ds,Total births by sex,Total deaths by sex,Infant mortality rate (IMR),Life expectancy E(x) - complete,Fertility rates by age of mother (1-year),Population by 1-year age groups and sex,Urban population growth (annual %),Refugee population by country or territory of origin,y
2009-01-01,314849.1643802066,161064.42123157953,95.77348600726141,25.969520604996827,186.52749323610502,132929.60573562759,5.0555259707073485,458.5034013605442,12700000.0
2010-01-01,317940.81812719157,160505.68358233018,92.37604282510617,25.567384550575063,183.89820561761715,122853.61593970923,4.9538799654284364,249.14965986394557,13000000.0
2011-01-01,320222.06079673895,160101.10094689013,89.78559986199679,25.16678046894241,180.36002971441377,107266.35743630785,4.960937435695103,234.3265306122449,13600000.0
2012-01-01,322827.6201353059,159674.99086645033,86.63514391025626,24.625201557377785,172.29924484885453,82982.12614379084,4.908749420847484,244.64625850340136,14200000.0
2013-01-01,321473.3595104875,159995.9716397759,87.88797189654697,24.618397475745127,168.0630330109781,144819.1601573963,4.856724331599865,263.8299319727891,14800000.0
2014-01-01,315808.3166253706,160817.7928380114,94.39284831024426,27.449227407717917,181.10530882240724,133609.68736828066,4.916910818538641,455.98639455782313,15400000.0
2015-01-01,314881.0745631104,160957.69708583193,95.74541816082126,28.626728768262133,188.13843707313575,111610.15675603574,5.043661461632517,254.5578231292517,16000000.0
2016-01-01,317297.89353791997,160447.8581824342,92.94947135301898,21.095216124112618,185.17450199981002,89937.8540349473,5.197096909126395,234.46938775510205,16600000.0
2017-01-01,318667.03561123734,160432.41734016768,91.52522819519842,24.258545136333414,181.32861487113354,150347.67716419903,4.774825048635239,239.08163265306123,17200000.0
2018-01-01,321329.955880014,159907.93582377676,88.32992733926862,23.664053310988344,175.10705309978636,139402.53430705616,4.725658945885579,263.6326530612245,17800000.0
2019-01-01,323558.1357967734,159470.4452407421,85.53621999491543,23.08483873732559,167.78534233293985,111551.12614379084,4.721911069153607,453.0,18400000.0
2020-01-01,317346.81553479965,160447.8589608726,92.42067012590086,22.614777110424022,176.710828059108,101329.35743630785,5.143534242848845,261.08843537414964,19000000.0
2021-01-01,313321.3805648401,161188.2642462045,97.20095728602838,22.330185684819256,186.24442925237074,159183.63974923303,4.815485592461089,236.95238095238096,19663822.0
2022-01-01,315810.6059502265,160749.00500695998,94.6082233527618,22.132527605033474,186.42841726652273,146470.94247032146,4.852272762316872,236.25850340136054,20327643.0
2023-01-01,318524.6817711835,160285.25998911523,91.63247529587575,23.768557991160336,183.61990258478286,112292.68736828065,4.870813660101906,256.72108843537416,20991464.0
2024-01-01,317025.8809971553,160518.1994468887,92.69308388316753,24.360377465053492,175.2170087995941,104623.06187183034,5.0174156253046505,294.53941908713693,21655286.0
